player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Calais Campbell,4364,DI,MIA,17,9,1.8,0,0,17,63.5,82.3,89.9,66.2,85.9,28.2,17.9,10,0,195,202,15.9,31,37
Brandon Graham,5538,ED,PHI,12,4,1.9,0,1,24,52.6,79.3,65.0,72.7,79.9,30.0,11.8,2,1,126,130,5.6,7,11
Kareem Jackson,5545,S,BUF,2,0,,0,0,4,65.9,67.6,90.6,57.1,60.0,80.0,,0,0,2,2,0.0,0,0
Jerry Hughes,5556,ED,HST,7,2,1.0,0,0,13,60.9,51.3,83.8,48.9,55.3,74.5,0.0,0,0,36,36,5.6,2,2
Linval Joseph,5571,DI,DAL,17,4,4.8,0,0,9,79.3,53.1,63.3,77.5,37.6,61.2,6.3,1,1,139,144,5.0,7,11
Von Miller,6154,ED,BUF,14,1,1.7,0,0,4,69.9,85.5,47.2,84.5,65.5,53.3,12.5,1,2,69,70,8.7,6,6
Cameron Jordan,6176,ED,NO,17,9,2.1,0,0,20,73.6,57.4,78.1,54.3,54.5,44.6,16.1,5,1,211,216,6.6,14,17
Cameron Heyward,6183,DI,PIT,18,14,2.5,0,0,25,61.8,90.1,87.4,85.9,79.6,64.0,3.1,2,0,326,337,11.3,37,48
Lawrence Guy Sr.,6385,DI,CIN,4,2,,0,0,7,,51.1,80.2,52.5,52.7,25.2,33.3,1,0,48,49,0.0,0,0
Nick Bellore,6515,LB,WAS,2,0,,0,0,32,79.8,86.2,68.6,60.0,63.2,73.2,,0,0,3,3,0.0,0,0
Stephon Gilmore,7016,CB,MIN,16,2,7.0,0,1,18,59.2,62.2,88.0,58.8,72.6,60.5,30.8,4,5,280,292,0.7,2,7
Bobby Wagner,7050,LB,WAS,20,31,4.2,0,0,32,63.8,88.3,70.8,90.9,91.2,86.3,5.1,6,2,523,533,7.8,41,80
Lavonte David,7060,LB,TB,18,15,2.7,0,2,30,56.9,67.9,86.2,65.4,77.6,47.6,13.0,9,2,370,380,8.9,33,45
Demario Davis,7079,LB,NO,16,27,3.4,0,0,20,63.4,73.2,68.0,66.0,80.2,63.6,12.8,12,2,416,430,8.4,35,55
Rodney McLeod,7271,S,CLV,17,5,4.8,0,0,8,47.2,50.9,82.7,49.7,61.4,56.0,11.1,2,0,243,248,2.5,6,11
Tashaun Gipson Sr.,7288,S,SF,4,1,5.0,0,0,28,60.3,63.1,0.0,,75.8,84.5,0.0,0,1,24,25,8.3,2,4
Harrison Smith,7641,S,MIN,17,4,6.9,0,0,18,65.3,67.7,53.1,60.3,75.9,70.7,10.5,4,2,357,372,3.6,13,30
Darius Slay,7817,CB,PHI,18,5,7.6,3,1,24,75.5,73.3,65.0,,58.1,70.7,18.8,3,6,312,321,1.3,4,8
Johnathan Hankins,7830,DI,SEA,17,7,2.5,1,0,29,64.2,35.9,20.6,55.3,36.2,29.2,15.2,5,4,210,222,7.1,15,21
Tyrann Mathieu,7850,S,NO,17,6,7.8,0,2,20,57.8,60.5,87.7,51.2,65.0,46.9,22.2,8,1,375,389,1.3,5,22
John Jenkins,7863,DI,LV,17,16,2.4,0,0,23,60.6,53.1,87.6,57.5,49.9,46.7,9.8,5,0,328,335,6.4,21,30
William Gholston,7908,DI,TB,16,3,2.0,0,0,30,66.8,65.7,53.5,65.9,58.7,59.0,0.0,0,1,99,101,2.0,2,5
Jordan Poyer,8000,S,MIA,16,13,7.8,0,0,17,61.4,62.5,23.3,58.8,69.4,73.3,7.8,4,3,332,348,2.7,9,34
Tony Jefferson,8361,S,LAC,6,3,7.8,0,0,27,71.2,89.9,79.3,99.9,74.2,75.6,12.5,2,1,113,113,4.4,5,11
Jadeveon Clowney,8636,ED,CAR,14,13,2.7,2,0,5,65.2,70.8,47.2,73.2,63.4,45.3,7.9,3,4,244,255,5.7,14,22
Khalil Mack,8640,ED,LAC,17,3,2.3,0,1,27,80.3,90.2,80.3,78.9,87.7,47.2,21.9,7,1,229,232,7.0,16,22
C.J. Mosley,8652,LB,NYJ,4,2,3.3,0,0,22,61.0,74.7,78.7,38.7,81.6,57.0,16.7,2,0,61,63,8.2,5,8
Jimmie Ward,8665,S,HST,10,6,3.5,0,0,13,73.9,76.1,83.2,47.2,75.6,83.3,9.1,2,1,156,159,3.2,5,14
DeMarcus Lawrence,8669,ED,DAL,4,4,2.9,0,0,9,60.3,56.8,53.1,53.9,62.4,27.9,20.0,3,1,73,75,5.5,4,8
Kyle Van Noy,8675,ED,BLT,18,8,3.5,0,0,3,65.3,75.8,55.4,74.7,68.4,64.0,11.5,3,3,179,183,6.1,11,15
Jordan Matthews,8677,TE,CAR,1,0,,0,0,5,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
DaQuan Jones,8747,DI,BUF,19,7,2.0,0,0,4,67.2,65.3,65.5,71.5,53.4,26.7,20.0,5,2,258,267,3.9,10,13
Brent Urban,8769,DI,BLT,15,2,3.1,0,0,3,57.1,53.5,83.7,53.5,56.4,65.0,5.6,1,0,98,101,11.2,11,15
Shelby Harris,8869,DI,CLV,14,9,1.7,0,1,8,60.5,66.7,72.2,59.7,67.9,62.4,3.4,1,1,250,254,6.8,17,19
Denico Autry,8982,ED,HST,12,3,8.0,2,0,13,56.4,60.6,51.3,65.2,54.1,56.1,10.0,1,2,88,88,3.4,3,6
Shaquil Barrett,9000,ED,TB,2,0,,0,0,30,90.4,75.9,74.4,52.9,56.6,73.3,,0,0,5,5,0.0,0,0
C.J. Goodwin,9243,CB,DAL,1,0,,0,0,9,60.2,61.4,99.9,60.0,60.0,,,0,0,3,3,0.0,0,0
Mike Pennel,9316,DI,KC,20,10,2.5,0,0,16,55.1,59.4,68.5,58.0,62.4,77.2,0.0,0,1,200,208,7.0,14,20
Dante Fowler Jr.,9436,ED,WAS,20,4,1.6,1,0,32,80.4,60.5,37.1,63.6,52.3,28.9,21.9,7,6,226,229,5.8,13,21
Leonard Williams,9439,DI,SEA,16,9,1.6,1,0,29,72.2,87.1,49.0,72.3,79.5,52.9,8.9,4,4,244,261,10.7,26,32
Arik Armstead,9450,ED,JAX,17,1,2.5,2,0,15,63.8,68.7,42.4,70.0,62.0,45.6,15.0,3,4,178,187,6.7,12,16
Bud Dupree,9455,ED,LAC,18,4,3.0,1,0,27,63.1,46.5,46.6,50.9,48.5,40.2,10.0,2,3,182,186,4.9,9,14
Shaq Thompson,9458,LB,CAR,4,7,2.8,0,0,5,62.9,67.4,19.4,52.7,73.2,51.0,12.5,4,1,107,112,12.1,13,21
Mario Edwards Jr.,9468,DI,HST,15,9,3.3,0,0,13,65.7,57.5,32.1,69.2,45.7,44.2,12.0,3,4,170,172,4.7,8,13
Preston Smith,9471,ED,PIT,17,10,3.4,0,0,25,69.3,64.2,61.6,59.3,64.3,76.0,4.8,1,2,178,182,3.9,7,10
Eddie Goldman,9472,DI,ATL,16,10,2.5,0,0,2,,49.3,48.2,61.5,47.5,26.1,21.7,5,2,178,181,2.8,5,8
Eric Kendricks,9478,LB,DAL,15,28,4.2,0,0,9,62.7,75.2,87.5,78.5,78.3,65.7,7.4,7,0,371,384,9.7,36,60
Denzel Perryman,9481,LB,LAC,12,9,3.6,0,0,27,61.9,62.3,81.7,83.9,54.1,29.8,24.4,10,0,150,154,10.0,15,22
Ronald Darby,9483,CB,JAX,13,2,6.8,1,0,15,61.0,61.7,85.6,60.0,60.9,68.6,16.7,2,3,237,248,1.3,3,8
Jordan Phillips,9485,DI,BUF,11,1,3.3,0,0,4,62.8,34.9,49.7,61.0,28.4,55.1,12.5,1,1,74,75,5.4,4,6
Chris Conley,9509,WR,SF,2,0,7.0,0,0,28,,62.8,64.6,,62.4,68.4,0.0,0,1,2,2,0.0,0,1
Jordan Hicks,9517,LB,CLV,12,16,4.2,0,0,8,70.0,77.4,52.6,72.4,77.7,64.6,19.6,10,1,247,252,7.3,18,25
Danielle Hunter,9521,ED,HST,19,5,2.0,2,0,13,71.1,84.6,47.2,81.1,73.2,75.5,2.9,1,6,288,292,8.3,24,29
Carl Davis Jr.,9523,DI,WAS,4,2,2.5,0,0,32,60.0,65.0,80.3,65.6,60.3,72.9,0.0,0,0,45,48,8.9,4,6
Angelo Blackson,9533,DI,ARZ,1,0,1.0,0,0,1,,66.5,74.1,66.7,61.5,68.1,0.0,0,0,13,13,7.7,1,1
Za'Darius Smith,9555,ED,DET,18,4,2.6,1,0,11,56.4,71.7,57.5,76.6,54.9,28.3,12.5,3,4,187,193,4.8,9,17
Kwon Alexander,9557,LB,DET,5,5,3.3,0,1,11,45.0,74.3,0.0,56.3,90.6,61.1,15.4,2,1,58,60,5.2,3,6
