week,regular_season,schema_valid,source_confidence,export_date
1,True,True,in_app_upload_2024_regular_season_export,2026-08-25
2,True,True,in_app_upload_2024_regular_season_export,2026-08-25
3,True,True,in_app_upload_2024_regular_season_export,2026-08-25
4,True,True,in_app_upload_2024_regular_season_export,2026-08-25
5,True,True,in_app_upload_2024_regular_season_export,2026-08-25
6,True,True,in_app_upload_2024_regular_season_export,2026-08-25
7,True,True,in_app_upload_2024_regular_season_export,2026-08-25
8,True,True,in_app_upload_2024_regular_season_export,2026-08-25
9,True,True,in_app_upload_2024_regular_season_export,2026-08-25
10,True,True,in_app_upload_2024_regular_season_export,2026-08-25
11,True,True,in_app_upload_2024_regular_season_export,2026-08-25
12,True,True,in_app_upload_2024_regular_season_export,2026-08-25
13,True,True,in_app_upload_2024_regular_season_export,2026-08-25
14,True,True,in_app_upload_2024_regular_season_export,2026-08-25
15,True,True,in_app_upload_2024_regular_season_export,2026-08-25
16,True,True,in_app_upload_2024_regular_season_export,2026-08-25
17,True,True,in_app_upload_2024_regular_season_export,2026-08-25
18,True,True,in_app_upload_2024_regular_season_export,2026-08-25
19,False,True,in_app_upload_postseason_wild_card_export,2026-08-25
20,False,True,in_app_upload_postseason_divisional_export,2026-08-25
21,False,True,in_app_upload_postseason_conference_championship_export,2026-08-25
22,False,True,in_app_upload_postseason_super_bowl_export,2026-08-25
