player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Creed Humphrey,59996,C,KC,20,1,16,81.3,2,17,843,100.0,100.0,98.9,5,19,0,893,893,71.1,1,12,359,100.0,100.0,98.2,13,0,388,388
Orlando Brown Jr.,46227,T,KC,20,1,16,76.8,10,44,843,100.0,100.0,96.3,3,58,4,893,893,73.8,6,30,359,100.0,100.0,94.2,39,3,388,388
Shaq Mason,9564,G,TB,18,0,30,70.2,9,17,831,100.0,100.0,98.3,0,27,1,883,883,69.3,5,14,368,100.0,100.0,97.1,20,1,393,393
Cordell Volson,30614,G,CIN,19,1,7,52.7,13,25,808,100.0,100.0,97.0,4,43,5,865,865,53.9,7,16,357,100.0,100.0,95.9,26,3,388,388
Andrew Wylie,12333,T,KC,20,3,16,62.1,5,40,816,99.9,99.9,96.1,9,54,9,865,866,59.9,2,25,350,99.7,99.7,94.4,33,6,379,380
Ted Karras,10855,C,CIN,19,0,7,76.1,4,18,807,100.0,100.0,98.4,1,24,2,864,864,71.1,3,13,357,100.0,100.0,97.2,18,2,388,388
Matt Feiler,9289,G,LAC,18,1,27,64.1,3,31,822,100.0,100.0,97.2,4,40,6,853,853,56.7,2,22,386,100.0,100.0,96.4,26,2,400,400
Zion Johnson,99681,G,LAC,18,1,27,52.8,8,29,817,100.0,100.0,97.1,4,42,5,848,848,38.4,7,22,384,100.0,100.0,94.9,34,5,398,398
Trey Smith,62960,G,KC,19,2,16,68.4,3,36,776,100.0,100.0,97.2,4,41,2,821,821,59.2,2,23,327,100.0,100.0,95.6,27,2,354,354
Ed Ingram,59819,G,MIN,18,1,18,42.6,19,33,769,100.0,100.0,95.2,2,63,11,816,816,28.1,14,27,362,100.0,100.0,91.9,50,9,384,384
Ezra Cleveland,41973,G,MIN,18,1,18,54.1,21,29,753,100.0,100.0,96.0,3,55,5,800,800,43.2,16,25,359,100.0,100.0,93.2,45,4,381,381
Robert Hainsey,59980,C,TB,17,1,30,73.0,7,13,750,100.0,100.0,98.7,1,20,0,800,800,65.0,3,7,335,100.0,100.0,98.5,10,0,360,360
Joe Thuney,10712,G,KC,18,0,16,88.9,4,15,754,100.0,100.0,98.6,0,20,1,799,799,79.3,2,14,325,100.0,100.0,97.2,17,1,351,351
Rodger Saffold,5558,G,BUF,18,2,4,50.2,5,35,755,100.0,100.0,97.1,5,42,2,796,796,36.8,4,27,361,100.0,100.0,95.2,33,2,391,391
Luke Fortner,42028,C,JAX,19,0,15,59.9,7,26,743,100.0,100.0,97.5,1,35,2,785,785,51.1,3,19,332,100.0,100.0,96.7,22,0,350,350
Kelvin Beachum,7229,T,ARZ,17,1,1,76.4,8,33,736,99.9,99.9,96.5,3,46,5,785,786,66.6,7,24,284,100.0,100.0,93.1,35,4,303,303
Jawaan Taylor,41665,T,JAX,19,0,15,75.9,1,15,734,100.0,100.0,98.2,3,21,5,775,775,72.8,1,13,324,100.0,100.0,96.6,18,4,341,341
Brandon Scherff,9438,G,JAX,19,0,15,63.4,3,22,728,100.0,100.0,97.5,1,31,6,770,770,54.2,2,16,324,100.0,100.0,96.0,22,4,342,342
Jason Kelce,6343,C,PHI,20,1,24,83.3,0,11,713,100.0,100.0,99.2,5,11,0,753,753,75.2,0,8,307,100.0,100.0,98.7,8,0,323,323
Isaac Seumalo,10713,G,PHI,20,2,24,78.2,3,21,714,100.0,100.0,98.2,3,25,1,753,753,74.0,1,14,308,100.0,100.0,97.6,15,0,324,324
Jonah Williams,41651,T,CIN,17,0,7,62.8,6,26,700,100.0,100.0,95.9,4,45,13,748,748,65.2,2,13,303,100.0,100.0,94.6,24,9,328,328
Charles Cross,98401,T,SEA,18,0,29,64.8,4,39,692,99.9,99.9,95.9,3,50,7,738,739,62.2,2,30,323,100.0,100.0,93.5,37,5,346,346
Connor Williams,46216,C,MIA,18,0,17,68.8,2,11,690,100.0,100.0,98.6,4,16,3,729,729,58.4,1,9,235,100.0,100.0,97.0,12,2,245,245
Robert Hunt,46139,G,MIA,18,2,17,74.6,4,17,689,100.0,100.0,98.0,3,24,3,728,728,60.2,2,10,234,100.0,100.0,96.2,15,3,244,244
Alex Cappa,66578,G,CIN,16,0,7,71.4,4,13,677,100.0,100.0,98.3,0,20,3,724,724,69.2,2,10,295,100.0,100.0,96.9,15,3,319,319
Dion Dawkins,11818,T,BUF,17,4,4,80.4,3,30,689,99.9,99.9,97.0,8,37,4,724,725,74.4,2,23,336,100.0,100.0,95.4,28,3,361,361
Quenton Nelson,12954,G,IND,17,1,14,74.1,6,20,685,100.0,100.0,97.4,4,31,5,720,720,62.9,4,19,355,100.0,100.0,95.9,26,3,373,373
Landon Dickerson,41712,G,PHI,20,0,24,78.7,3,17,675,100.0,100.0,98.4,5,21,1,714,714,74.4,2,11,294,100.0,100.0,97.4,14,1,310,310
Laken Tomlinson,9461,G,NYJ,17,1,22,70.2,4,27,689,100.0,100.0,97.6,1,32,1,713,713,65.9,2,21,321,100.0,100.0,96.4,23,0,333,333
Ryan Bates,28300,G,BUF,17,1,4,63.5,4,26,678,100.0,100.0,97.5,3,32,2,713,713,56.8,2,18,321,100.0,100.0,96.3,22,2,345,345
Connor McGovern,10778,C,NYJ,17,0,22,69.5,4,15,688,100.0,100.0,97.9,2,24,5,712,712,68.7,3,8,321,100.0,100.0,97.4,14,3,333,333
Brian O'Neill,46854,T,MIN,16,0,18,77.9,5,13,663,100.0,100.0,97.7,0,24,6,708,708,74.4,3,10,310,100.0,100.0,96.6,17,4,330,330
Zack Martin,8651,G,DAL,19,0,9,82.2,2,15,670,100.0,100.0,98.7,0,17,0,706,706,77.8,1,11,295,100.0,100.0,98.0,12,0,311,311
Austin Blythe,10882,C,SEA,18,1,29,66.2,7,13,659,100.0,100.0,98.0,1,23,3,704,704,54.1,6,10,309,100.0,100.0,96.4,19,3,332,332
Donovan Smith,9467,T,TB,14,1,30,71.0,7,22,661,100.0,100.0,96.9,8,35,6,703,703,63.1,4,20,317,100.0,100.0,95.0,28,4,335,335
Tyler Smith,98385,T,DAL,19,4,9,65.5,11,23,665,100.0,100.0,96.5,7,40,6,701,701,59.1,7,16,296,100.0,100.0,94.8,27,4,312,312
Andrew Thomas,59701,T,NYG,18,0,21,89.9,3,16,652,100.0,100.0,97.9,0,23,4,700,700,85.2,3,10,280,100.0,100.0,97.0,15,2,292,292
Jamaree Salyer,81656,T,LAC,15,0,27,76.4,10,33,671,100.0,100.0,96.1,0,48,5,696,696,67.2,4,25,314,100.0,100.0,94.1,33,4,325,325
Tristan Wirfs,64818,T,TB,14,0,30,89.1,1,2,652,100.0,100.0,99.3,2,6,3,696,696,86.5,0,1,280,100.0,100.0,99.1,3,2,300,300
Mark Glowinski,9567,G,NYG,18,0,21,56.5,5,27,648,100.0,100.0,96.8,3,37,5,695,695,39.1,3,19,280,100.0,100.0,94.3,27,5,292,292
Jordan Mailata,66916,T,PHI,19,1,24,76.3,1,32,651,99.8,99.9,96.5,3,39,6,687,688,67.9,1,22,285,100.0,100.0,94.2,28,5,299,299
